CASE,QUESTNNR,STARTED,AA03,AA04,AA07_01,CC01_01,CC01_02,CC01_03,CC03_01,DD01,DD08_01,DD09_01,DD10_01,DD10_02,DD10_03,Resilienz,DD10_04,DD10_05,DD11_01,DD11_02,DD11_03,DD02_01,DD02_02,DD02_03,DD12_01,DD12_02,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01_CP,Zufallsgenerator
340,SE,3/3/2021 14:25,2,2,OzD,,,,,2,viele,quatsch,3,3,5,3.666666667,1,3,2,3,1,3,4,1,2,4,4,4,2,2,15,7,1
348,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Q Anon: Ganz viel. Kinder werden im UNtergrund von der Elite gequält und deren Blut wird für die herstellung von Adrenochrom verwendet. Trump ist der Erlöser. Die Juden sind auch daran beteiligt.

Die Erde ist eine Scheibe

Bill Gates will uns mit der Impfung chippen.

Area 51: Sperrgebiet in den USA in denen die USA Waffentests machen

Chem Trails: Die Kondensstreifen am Himmel sind Chemikalien, mit denen der Staat uns schaden will.
","Es gibt eine Elite oder die Juden, die sich verschwören haben dem Volk zu schaden.

Zusammenhänge werden willkürlich gebildet.

Der Bürger soll sich immer selber informieren.

Menschliche Gefühle werden getriggert (besonders der Mutterinstinkt bei QAnon)",3,4,4,3.666666667,3,2,3,4,3,4,5,4,4,5,5,5,2,1,17,9,1
349,SE,3/5/2021 7:34,2,3,Detlefsengymnasium ,,,,,2,"- ""Das Coronavirus wurde in einem Labor in China gezüchtet""
- ""Das Coronavirus ist nur ein Mittel der Regierung, um unsere Freiheitsrechte zu 
  nehmen""
- ""Jfk wurde nicht allein Oswald erschossen worden sein"" 
--> ""vier Schüsse, die hätte er nicht alleine abgeben können""
- ""Corona gibt es gar nicht""",#NAME?,3,2,3,2.666666667,1,3,1,2,3,2,3,,2,3,4,3,,1,17,10,1
352,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Theorien über Personen
Theorien über Handlungen","Sie werden alle schnell verbreitet.
Viele sind ausgedacht.",4,3,2,3,4,4,1,2,3,3,4,2,4,5,4,4,3,1,17,11,1
355,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt ,,,,,2,"Der Anschlag vom 11. September soll von der CIA durchgeführt worden sein, um einen Grund zu haben, sich in Konflikte im nahen Osten einzumischen. Dadurch käme die USA an Rohstoffen wie Öl.

Die Mondlandung sei ""gefaked"" worden, da die auf den Videos zu sehende Mondlandschaft, der in der amerikanischen Wüste gleiche. 

Die Regierung arbeite zusammen mit Außerirdischen und würde dies für die Sicherheit der Bevölkerung verschweigen.

","Der Staat versucht etwas zu verschweigen, um eigene Vorteile heraus zu ziehen, oder um eine Massenhysterie zu vermeiden.",4,4,4,4,3,1,1,2,2,4,2,2,2,3,4,3,3,2,16,12,1
358,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"9/11-Verschwörungstheorie der Terroranschlag 2001 soll von Us-amerikanischen Geheimdiensten ausgeführt werden sollen.
Corona- Zur Corona Pandemie existieren zahlreiche Verschwörungstheorien, dass es Corona nicht gibt, dass es eine Maßnahme zur  Verringerung der Menschen Population sei etc.","Es gibt meist keine Studien zu den Behauptungen 
",4,4,4,4,1,3,1,4,3,5,2,2,3,4,4,4,,1,16,13,1
362,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"Q-anon: Eine Theorie, die besagt, dass der Staat mit Pädophilen Kinder fange, um sie festzuhalten und ""Adrenochrom"" aus ihnen zu gewinnen. Sie leugnen auch Corona, sind gegen Satanisten. Geschichtlicher Hintergrund: Ritualmordlegende --> Antisemitismus

Area-51: Dort soll es Aliens auf einer Amerikanischen Militärbasis geben, die dort geheim untersucht werden.

Michael Jackson/Tupac ist doch nicht Tod: Es wird spekuliert, dass diese Persönlichkeiten noch leben könnten.

","Alle Verschwörungstheorien sind oft ohne richtiges Hintergrundwissen aufgebaut. Sie werden einfach geglaubt und es wird spekuliert.
Oft werden diese Radikal verbreitet und wollen andere von ihrer Meinung überzeugen.",3,4,4,3.666666667,1,2,2,2,2,4,5,4,4,5,5,5,3,2,18,14,1
365,SE,3/5/2021 7:34,2,3,Detlefsengymnasium Glückstadt,,,,,2,"QAnon: Ein anonymer Nutzer habe wohl in einem Online-Forum Hillary Clintons Festnahme prophezeit. Angeblich gehe es dem ""Weltrettungskult"" darum, dass die Menschen selbst denken. Der ehemalige US-Präsident Trump wurde von den Mitgliedern der Bewegung quasi vergöttert.

Die Theorie, es gäbe keinen Virus, oder er sei extra geschaffen, um Kontrolle über die Bevölkerung zu erlangen.

Ich kenne den Namen nicht, aber es wurde auch behauptet, Juden würden in ihren Kreisen Kinderblut trinken.

Auf der Area 51 würde es Außerirdische geben oder mit ihnen kommuniziert werden.","Sie verleugnen die ""Fakten"", die die Medien verbreiten, wenden sich manchmal gegen ganz bestimmte Menschengruppen",2,2,3,2.333333333,3,4,3,2,2,4,4,2,4,4,4,4,3,1,17,15,1
509,SE,3/19/2021 9:53,2,3,Gymnasium brunsbüttel ,,,,,2,"Flat earth
Reptaloiden
Gott(JEDE RELIGION)
Die Mond Landung
Kondenz Streifen Flugzeug
","Sie machen halt keinen Sinn, aber die meisten dummen Leute versuchen damit irgendwas zu erreichen. Sie werden nur ausgenutzt für andere Zwecke. ",,5,5,5,1,3,,4,1,4,5,,4,4,5,5,1,2,17,81,1
296,U1,3/3/2021 9:22,2,3,Detlefsengymnasium,Al,5,19,Al0519,2,"Corona gibt es nicht, ist nur irgendwas mit Steuern oder so

Corona-Impfung ist keine Impfung - es werden Implantate gespritzt (irgendwas mit Bill Gates) oder es wächst ein dritter Arm

""Reichsbürger"" - es gibt keine deutsche Republik

","Haben einen Ursprung, den dann zahlreiche Leute verbreiten und dann einige dran glauben.
Verbreitung ist häufig übers Internet, über Gruppen und so

Verbreitung ist nie über ""sicherer"" Nachrichtendienste wie Tagesschau

",,2,,2,3,,1,3,3,4,,,3,4,4,4,2,1,17,,1
168,U1,2/22/2021 8:00,2,3,Friedrich-Paulsen Schule Niebüll,An,4,24,An0424,2," - nicht gut genug, um sie auf zu listen", - denke. dass sie auf keinen Quellen beruhen,3,2,,2.5,1,2,,2,1,4,,3,4,4,,4,,2,17,,1
173,U1,2/22/2021 8:01,2,3,FPS Niebüll,An,5,5,An0505,2,"Erde ist eine Scheibe
Reptiloiden
Merkel wurde von Aliens eingesetzt oder ist ein Alien
Trump hat die Wahl gewonnen","Verbreiten sich häufig bei ungebildeteren Bevölkerungsschichten
Führen manchmal auf das Mittelalter zurück
Haben Wurzeln vor der Renaissance

",4,1,5,3.333333333,2,1,3,4,4,5,,5,4,3,4,3,,2,15,,1
175,U1,2/22/2021 8:01,2,3,Friedrich Paulsen Schule (FPS),An,7,9,An0709,2,"-Bill Gates will beim Impfen den Menschen irgendwelche Chips in den Kopf setzten und sie damit total kontrollieren 

- Corona kommt durch die 5G Masten 

- Hitler ist nicht in Berlin gestorben sondern nach Argentinien geflohen 

","- Sie beruhen nicht auf Fakten sondern auf irgendwelchen Erzählungen die nicht bestätigt sind 

- ",2,4,4,3.333333333,1,1,2,2,1,5,5,3,4,4,4,4,3,2,16,,1
181,U1,2/22/2021 8:01,2,3,Friedrich-Paulsen-Schule,An,8,27,An0827,2,#NAME?,#NAME?,4,,,4,2,2,2,2,2,4,,,4,4,4,5,,2,17,,1
116,U1,2/18/2021 8:02,2,3,Friedrich-Paulsen-Schule,Be,3,22,Be0322,2,#NAME?,#NAME?,3,1,4,2.666666667,4,4,2,3,2,4,3,2,3,2,4,4,3,2,17,,1
169,U1,2/22/2021 8:01,2,3,FPS Niebüll,Be,7,26,Be0726,2,#NAME?,"-Sie lassen immer bestimmte Personen/Gruppen schlecht aussehen
-Stützen sich meist auf sehr ""wacklige"" Argumente",4,3,4,3.666666667,1,2,2,2,1,4,3,3,3,3,3,3,4,2,16,,1
246,U1,3/1/2021 12:51,2,3,Detlefsengymnasium,BI,4,19,BI0419,2,"Corona gibt es nicht, der Virus ist erfunden.

Die Erde ist keine Kugel

",Sie werden  durch das Internet verbreitet ,2,3,4,3,2,2,1,2,3,4,3,4,1,4,4,4,3,1,17,,1
238,U1,3/1/2021 12:51,2,3,Detlefsengymnasium Glückstadt,Bi,6,28,Bi0628,2,"Klimawandelleugnung: Den Klimawandel gäbe es nicht
COVID9: Es existieren viele Verschwörungstheorien zu dem Virus
Gestohlene Wahl zum US-Präsidenten: Es wird behauptet, dass die Wahl manipuliert wurde
",#NAME?,3,2,3,2.666666667,2,3,,1,1,4,4,4,3,4,4,4,3,1,17,,1
233,U1,3/1/2021 12:51,2,3,Detlefsengymnasium Glückstadt ,Ca,1,16,Ca0116,2,#NAME?,"Verschwörungstheorien werden oft von Menschen in die Welt gesetzt, für die sich durch die Theorien irgendwelche Sachen zum Vorteil entwickeln.",2,2,2,2,1,3,2,2,2,4,3,3,3,4,4,4,2,1,16,,1
118,U1,2/18/2021 8:02,2,3,Friedrich-Paulsen-Schule,Ch,7,14,Ch0714,2,"Klimawandelleugnung
9/11 -Verschwörungstheorie ","Geheime Verschwörung 
Bezieht sich auf eine Gruppe 
Urteilen in gut und böse ",2,3,3,2.666666667,1,3,1,2,2,5,2,3,3,4,3,4,2,1,17,,1
252,U1,3/1/2021 12:52,2,3,Detlefsengymnasium Glückstadt ,Ch,9,30,Ch0930,2,"Bill Gates hat Corona erschaffen, um die Weltherrschaft zu erlangen, indem er uns bei der Impfung Chips einpflanzen lässt.

In Area 51 hält die USA Aliens versteckt.

","Angst machen 

Aus Panik etwas „logisches“ als Erklärung finden 

Soziale Misstände erklären 

Politisch Entscheidungen angreifen mit denen man nicht einverstanden ist ",4,4,4,4,1,3,1,3,2,3,2,2,3,4,4,3,4,2,17,,1
295,U1,3/3/2021 9:22,2,3,Detlefsengymnasium,Co,2,19,Co0219,2,"Q-Anon
- es werden immer wieder kleine Hinweise gegeben auf Vorhersagen oder ähnliches
- Es ging dabei glaube ich um einen Schatten Staat 

Corona Impfungen
- jedem wird beim Impfen ein Chip eingesetzt

Bielefeld Verschwörung
- Die Stadt Bielefeld existiert laut dieser Verschwörung gar nicht ",#NAME?,,4,4,4,2,3,2,3,3,4,3,,4,4,4,3,,1,17,,1
174,U1,2/22/2021 8:01,2,3,Friedrich-Paulsen-Gynasium,Da,6,15,Da0615,2,Corona ,"erfunden und eine bestimmte gruppe menschen glaubt dran
",2,3,2,2.333333333,1,2,1,2,1,1,1,1,3,5,4,1,1,1,17,,1
120,U1,2/18/2021 8:02,2,3,Friedrich-paulsen-Schule ,Da,14,19,Da1419,2,"Corona gibt es nicht ~ Menschen behaupten Corona wäre vom Staat gemacht, unbestimmte Ziele zu erreichen.

","Unseriöse Quellen
Unlogische Aussagen ( gegen etwas argumentieren, was quasi bewiesen ist )
Keine Fakten in den Aussagen 
",4,4,4,4,1,2,2,3,3,4,3,4,4,3,4,3,3,1,16,,1
297,U1,3/3/2021 9:22,2,3,Detlefsengymnasium Glückstadt,Do,2,21,Do0221,2,Merkel Diktatur,Ich weiß kaum etwas über Verschwörungstheorien. Die Verbreitung über die sozialen Medien könnte eine Gemeinsamkeit sein ,3,2,,2.5,2,2,1,2,1,3,,,2,3,,,,1,17,,1
183,U1,2/22/2021 8:01,2,3,Friedrich-Paulsen-Schule,Do,4,12,Do0412,2,"- Reptiloide
- beim Impfen gegen COVID9 wird ein Chip implantiert
- Area 51
- Wahlsieg von Joe Biden wurde „gestohlen“",#NAME?,2,4,3,3,3,2,2,3,2,4,3,3,4,4,4,4,3,1,17,,1
119,U1,2/18/2021 8:02,2,3,Friedrich Paulsen Schule,Do,5,4,Do0504,2,"1. ""Impfen ist Gift"", auch genannt Impfgegner, sind Menschen, die sich nicht nur gegen Zwangsimpfungen wehren, sondern allgemein glauben Impfungen würden mehr schaden als nützen.

2. Bill Gates will uns alle mit Mikrochips versehen um uns zu überwachen und die Weltherrschaft an sich zu reißen. Außerdem will er die  Weltbevölkerung ausdünnen.

3. Altbekannter Nonsense, wie die Reptiloiden, die unter uns leben

4. ""Dolchstoßlegende"", sie besagt, dass die Aufstände in Deutschland für die Niederlage im 1. Weltkrieg verantwortlich waren, und nicht wie in Wirklichkeit militärische Unterlegenheit.

5. allgemeine Nazipropaganda und ""Heldenhafte Mythen über Hitler"", absolut quatsch

6. Flache Erde, die Erde ist eine Scheibe","Sie basieren nicht auf wissenschaftlichen Fakten, auch den Anhängern ist meistens mit diesen nicht beizukommen.",4,4,4,4,2,3,2,3,2,4,4,1,4,4,5,4,4,2,17,,1
110,U1,2/18/2021 8:01,2,3,Friedrich Paulsen Schule,Do,7,19,Do0719,2,"Die Regierung nutzt die Corona-Krise aus und ""übertreibt"" mit den Maßnahmen, um mehr Gehorsam von den Bürgern zu erlangen.

Die Antifa und nicht die Unterstützer von Trump haben das Kapitol gestürmt, um Trump und seine Anhänger schlecht dastehen zu lassen.

Den Klimawandel gibt es nicht und die Regierung und reiche Leute haben sich das nur ausgedacht, weil sie dadurch profitieren z.B. Durch die Co2- Steuer","Reiche und mächtige Leute profitieren von ihnen 

Medien werden von der Regierung kontrolliert",2,3,5,3.333333333,4,4,2,3,5,4,3,3,4,4,5,5,,1,17,,1
193,U1,2/22/2021 8:01,2,3,FPS Niebüll,Do,9,4,Do0904,2,"Klimawandelleugnung, Theorien über Corona, gefälschte Wahlergebnisse in den USA,Die Erde ist eine Scheibe, 9/11, Impfgegner","geheime Verschwörungen, Verbreitung von falschen Informationen ",3,4,4,3.666666667,3,3,1,3,2,4,4,3,3,4,5,4,2,1,16,,1
250,U1,3/1/2021 12:51,2,3,Detlefsengymnasium,Ev,11,27,Ev1127,2,"Area 51
911
Bill Gates
Corona
Kennedy
Erde eine Scheibe
Mondlandung","Vertuschungsversuche

nicht Bestätigt",4,4,4,4,4,5,3,4,2,5,,2,4,5,5,2,,2,17,,1
249,U1,3/1/2021 12:51,2,3,Detlefsen Gymnasium,Fr,9,3,Fr0903,2,"Aliens, Q-Anon, Area 51, Corona, Marsmenschen, Krümmung der Erde, Echsenmenschen","Unbestätigt
Meist sehr wirr",3,4,4,3.666666667,5,2,4,2,3,3,4,3,4,4,4,4,3,2,17,,1
176,U1,2/22/2021 8:01,2,3,FPS-Niebüll,Ga,9,12,Ga0912,2,"Chemtrails, sind angeblich giftige Wolken welche als Kondenzstreifen auftreten.

Die Mondlandung soll nicht existiert haben.",.,1,2,3,2,1,3,1,2,2,4,3,,3,4,5,4,2,2,17,,1
292,U1,3/3/2021 9:22,2,3,Detlefsengymnasium,He,7,26,He0726,2,"Echsenmenschen in der Politik - Die Politik ist durch Außerirdische infiltriert

Corona war/ist geplant - Test für die Gesellschaft und die Politik

Area 51 - In der Geheimanlage werden an Außerirdischen geforscht etc.

",Man ist sich über einen Sachverhalt nicht sicher und reimt sich selber seine Lösung des Problems bzw. eine Erklärung dieses zusammen.,2,4,,3,1,2,,3,2,3,,2,4,4,3,4,,2,16,,1
285,U1,3/3/2021 9:22,2,3,detlefsengymnasium,He,8,12,He0812,2,#NAME?,"- alle haben angebliche ""Beweise""
- sie gehen gegen die Norm
- es gibt Gruppen die ihnen anhängen",,3,4,3.5,2,3,1,1,1,,,,3,3,4,3,,2,16,,1
177,U1,2/22/2021 8:01,2,3,FPS Niebüll,iv,3,10,iv0310,2,"Coronaleugner
Illuminati
Bill Gates würde die ganze Welt regieren.
Die Amerikaner hätten nie den Mond betreten. 
9/11 wäre von Amerikanern angeleihert worden.","es lassen sich immer irgendwelche Fakten finden, um Teile der Behauptungen zu beweisen. Diese Verschwörungstheorien werden nicht von staatlichen Institutionen unterstützt.",1,4,4,3,2,3,2,2,2,3,4,4,3,5,3,3,1,1,17,,1
235,U1,3/1/2021 12:51,2,3,Detlefsengymnasium,Ja,1,26,Ja0126,2,"-Area 51, bereits Alien erforscht
- Megadolon, der größte Hai der Welt lebt wohl noch
-Verschwörungstheorien im allgemeinen vom und gegen den Staat (z.b von Amerika)
-Illuminaties
-Horrorgeschichten (z.b. slenderman, bloody marry,...)","-Man kennt kein urteil
ob es stimmt oder nicht
-viele verschieden varianten 
-",4,3,3,3.333333333,1,3,1,3,2,5,2,2,4,5,4,3,3,1,17,,1
112,U1,2/18/2021 8:02,2,3,Friedrich-Paulsen-Schule Niebüll,Ja,3,9,Ja0309,1,"Natürlich die aktuellen Corona-Verschwörungen —>Corona wurde von ... als Biowaffe entwickelt und in Umlauf gebracht, um die Gesellschaft zu zerstören...

9/11 wurde von den US-Geheimdiensten selbst herbeigeführt/ willentlich und wissentlich zugelassen

Klimawandel ist wissentlich herbeigeführt/ nicht existent, um den Sozialismus herbeizuführen

Wahl in den USA von Joe Biden „gestohlen“

Mondlandung 1969 war ein Fake

...
..
Könnte man ewig so weiter führen




","Meist abstrus

Können normalerweise leicht widerlegt werden (->wird von Verschwörungstheoretikern aber nicht zugelassen)

Verschwörungstheorien sind fast schon ein Kult
",4,4,4,4,2,2,2,2,2,4,4,3,2,3,4,4,,1,16,,1
231,U1,3/1/2021 12:51,2,3,Detlefsengymnasium,Je,2,26,Je0226,2,#NAME?,#NAME?,,,,,4,,1,3,3,4,4,,3,4,4,4,2,1,17,,1
290,U1,3/3/2021 9:22,2,3,Detlefsengymnasium Glückstadt,Je,8,6,Je0806,2,"Covid9: Das Virus sei im Labor erzeugt worden

Corona Impfung: es soll bei der Impfung angeblich auch ein Mikrochip unter die Haut gesetzt werden

Brunnenvergiftung: Wir hatten in Geschichte das die Juden für die Pest verantwortlich war indem sie die Brunnen vergiftet haben

Neonazis verwenden häufig Verschwörungstheorien, wie 
","Verschwörungstheorien versuchen meist eine Tat oder ein Ereignis zu begründen und zu entschuldigen.
",3,2,3,2.666666667,1,,2,2,2,4,4,3,4,5,5,5,3,1,17,,1
243,U1,3/1/2021 12:51,2,3,Detlefsengymnasium ,Ju,7,23,Ju0723,2,"Erde ist flach keine Kugel 
Corina ist von der Regierung geplant 
Prominente sind Echsenmenschen 
","Keine Fakten zur Bestätigung 
Aus der Luft gegriffen
Keine guten Argumentationen ",3,4,4,3.666666667,2,4,2,3,2,5,3,2,4,4,4,3,2,1,17,,1
186,U1,2/22/2021 8:01,2,3,Friedrich Paulsen Schule,ka,8,12,ka0812,2,"CO2 wäre nicht schädlich, sondern hilft den Planzen beim Wachsen.

Corona gibt es eigentlich überhaupt gar nicht, es sollen nur die Persönlichkeitsrechte eingeschränkt werden. 

","Meistens entstehen Verschwörungstheorien, wenn Menschen nicht auf eine bestimmte Sache verzichten möchten oder sich eingeschränkt fühlen",4,3,3,3.333333333,4,,2,3,,4,3,3,3,4,4,4,,1,17,,1
241,U1,3/1/2021 12:51,2,3,Detlefsengymnasium Glückstadt,Ke,7,19,Ke0719,2,"9/11, Area 5, Corona ",Keine Bestätigung von Ereignissen,3,4,2,3,3,2,1,1,2,2,2,2,3,4,1,2,3,2,17,,1
194,U1,2/22/2021 8:01,2,3,Friedrich Paulsen Schule ,Ke,17,19,Ke1719,2,"antisemitische Verschwörungstheorien, die zum Holocaust beigetragen haben ( extreme Vorurteile gegenüber Juden)

Verschwörungen gegen Menschen, die anders waren, dem gesellschaftlichen Bild einer Hexe ähnelten ( Hexenverbrennung)","Es werden bestimmte Menschengruppen ausgegrenzt, die sich von dem Idealbild der Gesellschaft abgrenzen",,4,4,4,2,3,1,2,1,5,4,5,4,5,,,4,1,16,,1
114,U1,2/18/2021 8:02,2,3,Friedrich-Paulsen-Schule,KH,12,25,KH1225,2,"Corona gibt es nicht
Die Presse macht gehirnwäschen
Der Staat nutzt die Situation aus",Der Staat ist am Ende schuld,2,3,3,2.666666667,3,3,1,3,2,4,3,3,4,4,4,5,1,2,17,,1
109,U1,2/18/2021 8:01,2,3,Friedrich-Paulsen Schule,Ki,11,29,Ki1129,2,"Corona
11. September 2001
NSU Morde
Die 5G-Verschwörung","Sie behaupten Geheimwissen zu haben und sich auf zahlreiche Quellen zu beziehen, dabei schreiben sie alle nur voneinander ab.

Sie lassen keine Gegenbeweise gelten, diese seien nur ein Zeichen für die Macht der
Verschwörer

Sie sehen hinter allem eine böse Macht.

Ihr ständigen Wiederholungen erwecken den Eindruck der Wahrheit. Dabei variieren sie immer dieselben Kernthesen


",4,4,4,4,1,3,3,2,3,4,2,2,3,4,5,3,3,2,17,,1
170,U1,2/22/2021 8:01,2,3,Fps niebuell,Ki,27,23,Ki2723,2,Die mit dem Impfstoff weil das an dauernd in den Nachrichten ist ,Sie basieren alle auf einer Vorstellung der Menschen die sie verfolgen,5,4,4,4.333333333,1,3,1,2,1,4,3,3,5,5,4,4,3,2,16,,1
248,U1,3/1/2021 12:51,2,3,Detlefsengymnasium ,Kr,14,4,Kr1404,2,Q anan : trump anhännger rettetvor dem tiefen staat ,nicht war / echt ,,,,,,,3,2,1,3,4,2,3,3,3,3,3,1,18,,1
117,U1,2/18/2021 8:02,2,3,Friedrich-Paulsen-Schule,Lu,12,10,Lu1210,2,"Die Angebliche Wahlfälschung bei US-Präsidentschaftswahl. Es wurde behauptet, von der Seite Trumps, dass die gegnerische Seite Betrug vornahm.",Sie sind unkonventionell und in gewisser Weise sehr abstrakt. Verschwörungstheorien sind häufig ein Grund zur Auflehnung.,,2,,2,3,2,2,3,2,4,3,4,3,3,,3,,2,17,,1
188,U1,2/22/2021 8:01,2,3,Friedrich-Paulsen-Schule Niebüll ,Ma,2,10,Ma0210,2,"Kennedy Mord 
Das Jesus Nachfahren hat ","Es wird versucht auf ein Thema eine andere Lösung zu finden, als die, die allen bekannt ist.",3,3,,3,2,,,2,1,,,,3,3,5,,,2,16,,1
289,U1,3/3/2021 9:22,2,3,Detlefsengymnasium Glückstadt,Ma,3,22,Ma0322,2,"Illuminatenorden 
->hatte das Ziel die Herrschaft von Menschen über Menschen überflüssig zu machen

Area 51
-> militärisches Sperrgebiet","Geheimhaltungen
",2,,3,2.5,1,3,2,2,1,4,,,3,4,4,,2,1,16,,1
291,U1,3/3/2021 9:22,2,3,Detlefsengymnasium Glückstadt,Ma,5,12,Ma0512,2,"Einige Verschwörungstheorien der Q-Anon Bewegung,
wie zum Beispiel die Eliten, welche durch Unicef Kinder erhalten und das Adrenocrom der Kinder trinken um Jung zu bleiben.
Oder, dass Angela Merkel mit Adolf H. Blutsverwandt ist.
Auch kenn ich die Verschwörungstheorie, dass die Regierung was im Schilde führt und Covid9 nicht real ist.","Es richtet sich meist gegen Regierungen oder Hochangesehene.
",3,4,4,3.666666667,3,3,3,2,2,4,4,2,3,4,4,3,3,2,17,,1
187,U1,2/22/2021 8:01,2,3,FPS,Ma,6,19,Ma0619,2,"-COVID9 gibt es nicht
-COVID9 Erfindung von der Regierung
•um Diktatur zu erlangen
•um Bargeld abzuschaffen
-Klimawandel gibt es nicht 
",Unseriöse Quellen,4,4,4,4,1,4,1,4,2,3,3,2,4,4,5,5,3,1,17,,1
247,U1,3/1/2021 12:51,2,3,Detlefsengymnasium,Ma,6,28,Ma0628,2,Coroa Leugner,Gruppierungen,4,4,4,4,1,1,1,2,2,1,2,1,3,4,2,3,4,2,17,,1
122,U1,2/18/2021 8:03,2,3,Friedrich-Paulsen-Schule,Ma,7,2,Ma0702,2,"Querdenker, derzeit während Corona
- Einführung Impfpflicht 
- geplanter Ausbruch
-Einschränkung und Rauben der Grundrechte
Ungeklärte NSU Morde 
Geheimestaatsakten von den USA, Russland etc 
( bei uns im Dorf die Gerüchte ? Kleine Verschwörungstheorien ?) 
","Theorien, nicht direkt beweisbar 
Wird nach Gründen gesucht- Theorie wird nicht nach den Fakten aufgestellt 
Verbreitung übers Internet 
Demonstrationen/ Kundtuhungen 
Vermutungen ohne große Fakten 
",3,2,4,3,2,4,2,2,3,4,4,2,3,4,4,2,,1,16,,1
178,U1,2/22/2021 8:01,2,3,Friedrich-Paulsen-Schule Niebüll,Ma,7,11,Ma0711,2,"UNICEF ist der Transporteur von Kinder für die Eliten
QAnon
Corona ist geplant",Sie Stimmen nicht und sind unrealistisch.,3,4,3,3.333333333,1,2,2,4,4,5,4,4,4,4,5,5,2,2,17,,1
113,U1,2/18/2021 8:02,2,3,FPS Niebüll,Ma,11,87,Ma1187,2,#NAME?,#NAME?,3,2,,2.5,4,3,1,2,3,4,5,3,3,4,4,5,3,1,17,,1
293,U1,3/3/2021 9:22,2,3,detlefsengymnasium glückstadt,ma,12,23,ma1223,2,"- Corona: viele Verschiedene: z.b. aus labor freigelassen 

- Hexen: früher galten rothaarige als Hexen und wurden verbrannt oder so

- USA: politik 

- 18/19 Jh. zählten verschwörungstheoretiker zur Elite und waren nicht dumm 
(Machtpolitik)","
- 189: zählten zur Elite und sind nicht dumm

- Machtpolitik > wollen Macht mit Machttheorien 

- Verbreitung nicht über nachrichten ",,2,2,2,2,2,1,2,2,4,4,4,4,5,4,4,2,1,17,,1
299,U1,3/3/2021 9:24,2,3,Detlefsengymnasium,me,2,17,me0217,2,"
-Corona gebe es gar nicht
-der Impstoff solle uns alle chippen und dann überwachen können
","
dazu weiß ich leider nichts",2,2,3,2.333333333,3,2,2,2,2,2,4,4,3,3,2,5,,1,17,,1
294,U1,3/3/2021 9:22,2,3,Detlefsengymnasium Glückstadt,Me,5,23,Me0523,2,"Verschwörungstheorien:
qAnon
Der Staat kontrolliert angeblich alles -""Deep State""
Kleinstkinder werden vermeintlich gequält für Adrenochrom.
Donald Trump als ""Messias""

9/11 Verschwörung
9/11 soll angeblich gezielt von den USA durchgeführt worden sein, um den darauffolgenden Irakkrieg zu legitimisieren.

Area 51
Area 51 soll angeblich als geheimer Kontaktort mit auserirdischen Lebensformen dienen.

Der Tod von Hitler
Hitler soll vermeintlicherweise nicht durch suizid gestorben sein, sondern per U-Boot nach Argentinien geflohen und dort bis zum tod durch Altersschwäche verdeckt gelebt haben.

JFK-Attentat
Eine angebliche verschwörung zwischen Mafia und CIA oder Fidel Castro werden für das Attentat verantwortlich gemacht.

Jeffery Epstein
Wurde verurteilt und starb in seiner Zelle. Theoretiker munkeln, dass er keinen Suizid begangen hat, sondern getötet wurde damit er keine Aussage geben kann.","Viele Verschwörungstheorien beruhen nur auf Spekulationen oder wirren angeblichen Beweisen, die durch das aus dem Kontext reißen von Informationen entstehen",3,4,3,3.333333333,2,4,4,5,4,4,3,3,3,4,4,3,3,2,16,,1
230,U1,3/1/2021 12:51,2,3,Detlefsengymnasium Glückstadt,Me,7,18,Me0718,2,"Corona Impfungen greifen DNA an
Bei Corona Impfung Chip eingepflanzt
Bill Gates will Menschheit versklaven
Erde ist flach
World Trade Center wurde gesprengt
Juden wollen Weltherrschaft 
Hitler lebt noch in Südamerika","Einfache Lösungen für komplexe Themen
Die Mehrheit soll die Wahrheit nicht erkennen. Nur die Verschwörungstheoretiker sind aufgeklärt
Es gibt die bösen , reichen Menschen, die über die Welt herrschen wollen
Regierungen sind immer Schuld",4,4,5,4.333333333,1,3,2,4,2,3,4,1,3,3,5,4,2,2,17,,1
242,U1,3/1/2021 12:51,2,3,Detlefsen Gymnasium ,Ni,8,26,Ni0826,2,"-Corona sei eine Lüge, wohl keine Freiheit mehr für die Bürger
-Area 51, Experimente und Kommunikation mit Außerirdischen 
-Attentat auf John F. Kennedy, kein Einzeltäter sondern eine Organisation ",#NAME?,,4,4,4,1,2,2,2,1,4,4,2,3,4,,3,,2,17,,1
