CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
189,U1,FPS,3,4,4,3.666666667,2,3,4,3,5,4,4,4,3,2,18,0,
245,U1,Detlefsengymnasium,2,2,3,2.333333333,1,1,2,1.333333333,4,4,4,5,2,1,17,0,
111,U1,FPS,3,4,4,3.666666667,1,3,2,2,1,2,4,1,,1,17,0,
121,U1,FPS,3,5,4,4,2,4,4,3.333333333,4,4,5,4,2,2,17,0,
287,U1,Detlefsengymnasium,4,4,4,4,2,4,3,3,3,3,4,5,2,2,17,0,
232,U1,Detlefsengymnasium,3,4,3,3.333333333,1,2,1,1.333333333,,3,3,2,,1,17,0,
236,U1,Detlefsengymnasium,2,4,4,3.333333333,1,2,2,1.666666667,3,2,4,5,2,1,16,0,
288,U1,Detlefsengymnasium ,,3,4,3.5,1,2,2,1.666666667,,2,4,4,,1,17,0,
180,U1,FPS,4,4,4,4,2,5,3,3.333333333,2,4,5,3,4,2,17,0,
115,U1,FPS,2,3,4,3,1,2,3,2,3,5,4,,4,1,18,0,
