CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
565,SE,OzD,3, , ,3,2,2,3,2.333333333,1,2,2,1,2,1,15,3,140
567,SE,OzD,4,3,4,3.666666667,2,2,1,1.666666667,4,4,4,4,3,1,15,3,59
568,SE,OzD,2, , ,2,2,2,2,2,3,3,4, , ,2,16,2,150
570,SE,OzD, ,3,5,4,2,2,2,2,5,5,5,5,2,2,16,3,180
571,SE,OzD,3,3,4,3.333333333,2,2,4,2.666666667, ,3,4,3, ,1,16,2,158
572,SE,OzD,3,2, ,2.5,1,1,1,1,3,3,4,3,2,1,15,3,130
573,SE,OzD,1,3,3,2.333333333,2,3,2,2.333333333,4,3,5,3,2,1,16,2,119
574,SE,OzD,4,4,4,4,2,3,1,2,5,4,5,5, ,2,16,3,160
576,SE,OzD,2,3,3,2.666666667,1,3,3,2.333333333,4,4,4,4,2,1,16,2,122
578,SE,OzD,5,4,5,4.666666667,2,3,2,2.333333333,3,2,3,4, ,2,16,3,69
589,SE,JRG,2,2,4,2.666666667,1,3,3,2.333333333,2,3,2,1,3,2,18,2,61
590,SE,JRG,4,4,4,4,1,2,2,1.666666667,4,3,3,3, ,2,17,3,124
591,SE,JRG,3,4,3,3.333333333,1,2,1,1.333333333,2,2,2,2,3,2,16,2,63
592,SE,JRG,4,5,5,4.666666667,2,4,3,3,3,3,3,2,4,1,16,3,150
593,SE,JRG,2,3,2,2.333333333,2,2,3,2.333333333,4,4,4,3, ,1,17,2,146
594,SE,JRG,3,4,4,3.666666667,2,2,2,2,2,5,4,5,3,1,17,3,156
595,SE,JRG,4,2,2,2.666666667,2,4,2,2.666666667,3,4,4,3,3,1,17,3,134
596,SE,JRG,2,3,3,2.666666667,2,3,2,2.333333333,4,4,4,4, ,1,17,2,170
597,SE,JRG,5,4,4,4.333333333,1,3,3,2.333333333,4,3,5,4, ,2,16,3,176
598,SE,JRG,5,5,4,4.666666667,2,5,3,3.333333333,4,3,4,5,3,2,17,2,137
599,SE,JRG, ,4,2,3,2,2,3,2.333333333,3,4,4,4, ,1,17,3,139
601,SE,JRG,4,4,3,3.666666667,2,4,2,2.666666667,5,4,5,4,2,,,3,153
602,SE,JRG,4,3,3,3.333333333,2,2,2,2,3,3,4,5, ,2,18,2,134
603,SE,JRG,3,4,4,3.666666667,2,3,4,3, ,3,4, , ,2,17,3,137
604,SE,JRG,5,5,4,4.666666667,1,4,4,3,5,4,5,4,1,2,17,2,175
605,SE,JRG,5,4,4,4.333333333,2,3,2,2.333333333,2,4,3,3,2,2,17,3,244
606,SE,JRG,4,4,5,4.333333333,2,4,3,3,4,4,5,4,2,2,17,2,84
609,SE,JRG,2,4,4,3.333333333,1,2,1,1.333333333,4,3,4,4, ,2,17,3,58
610,SE,JRG,5,4,3,4,2,3,2,2.333333333,4,3,3,4, ,2,17,2,55
611,SE,JRG,4,3,4,3.666666667,1,2,2,1.666666667,4,5,5,5, ,1,17,3,120
296,U1,Detlefsengymnasium,,2,,2,1,3,3,2.333333333,,3,4,4,2,1,17,1,
168,U1,FPS,3,2,,2.5,,2,1,1.5,,4,,4,,2,17,1,
173,U1,FPS,4,1,5,3.333333333,3,4,4,3.666666667,,4,4,3,,2,15,1,
175,U1,FPS,2,4,4,3.333333333,2,2,1,1.666666667,5,4,4,4,3,2,16,1,
181,U1,FPS,4,,,4,2,2,2,2,,4,4,5,,2,17,1,
116,U1,FPS,3,1,4,2.666666667,2,3,2,2.333333333,3,3,4,4,3,2,17,1,
169,U1,FPS,4,3,4,3.666666667,2,2,1,1.666666667,3,3,3,3,4,2,16,1,
246,U1,Detlefsengymnasium,2,3,4,3,1,2,3,2,3,1,4,4,3,1,17,1,
238,U1,Detlefsengymnasium,3,2,3,2.666666667,,1,1,1,4,3,4,4,3,1,17,1,
233,U1,Detlefsengymnasium,2,2,2,2,2,2,2,2,3,3,4,4,2,1,16,1,
118,U1,FPS,2,3,3,2.666666667,1,2,2,1.666666667,2,3,3,4,2,1,17,1,
252,U1,Detlefsengymnasium,4,4,4,4,1,3,2,2,2,3,4,3,4,2,17,1,
295,U1,Detlefsengymnasium,,4,4,4,2,3,3,2.666666667,3,4,4,3,,1,17,1,
174,U1,FPS,2,3,2,2.333333333,1,2,1,1.333333333,1,3,4,1,1,1,17,1,
120,U1,FPS,4,4,4,4,2,3,3,2.666666667,3,4,4,3,3,1,16,1,
297,U1,Detlefsengymnasium,3,2,,2.5,1,2,1,1.333333333,,2,,,,1,17,1,
183,U1,FPS,2,4,3,3,2,3,2,2.333333333,3,4,4,4,3,1,17,1,
119,U1,FPS,4,4,4,4,2,3,2,2.333333333,4,4,5,4,4,2,17,1,
110,U1,FPS,2,3,5,3.333333333,2,3,5,3.333333333,3,4,5,5,,1,17,1,
193,U1,FPS,3,4,4,3.666666667,1,3,2,2,4,3,5,4,2,1,16,1,
250,U1,Detlefsengymnasium,4,4,4,4,3,4,2,3,,4,5,2,,2,17,1,
249,U1,Detlefsengymnasium,3,4,4,3.666666667,4,2,3,3,4,4,4,4,3,2,17,1,
176,U1,FPS,1,2,3,2,1,2,2,1.666666667,3,3,5,4,2,2,17,1,
292,U1,Detlefsengymnasium,2,4,,3,,3,2,2.5,,4,3,4,,2,16,1,
285,U1,Detlefsengymnasium,,3,4,3.5,1,1,1,1,,3,4,3,,2,16,1,
177,U1,FPS,1,4,4,3,2,2,2,2,4,3,3,3,1,1,17,1,
235,U1,Detlefsengymnasium,4,3,3,3.333333333,1,3,2,2,2,4,4,3,3,1,17,1,
112,U1,FPS,4,4,4,4,2,2,2,2,4,2,4,4,,1,16,1,
231,U1,Detlefsengymnasium,,,,,1,3,3,2.333333333,4,3,4,4,2,1,17,1,
290,U1,Detlefsengymnasium,3,2,3,2.666666667,2,2,2,2,4,4,5,5,3,1,17,1,
243,U1,Detlefsengymnasium,3,4,4,3.666666667,2,3,2,2.333333333,3,4,4,3,2,1,17,1,
186,U1,FPS,4,3,3,3.333333333,2,3,,2.5,3,3,4,4,,1,17,1,
241,U1,Detlefsengymnasium,3,4,2,3,1,1,2,1.333333333,2,3,1,2,3,2,17,1,
194,U1,FPS,,4,4,4,1,2,1,1.333333333,4,4,,,4,1,16,1,
114,U1,FPS,2,3,3,2.666666667,1,3,2,2,3,4,4,5,1,2,17,1,
109,U1,FPS,4,4,4,4,3,2,3,2.666666667,2,3,5,3,3,2,17,1,
170,U1,FPS,5,4,4,4.333333333,1,2,1,1.333333333,3,5,4,4,3,2,16,1,
248,U1,Detlefsengymnasium ,,,,,3,2,1,2,4,3,3,3,3,1,18,1,
117,U1,FPS,,2,,2,2,3,2,2.333333333,3,3,,3,,2,17,1,
188,U1,FPS,3,3,,3,,2,1,1.5,,3,5,,,2,16,1,
289,U1,Detlefsengymnasium,2,,3,2.5,2,2,1,1.666666667,,3,4,,2,1,16,1,
291,U1,Detlefsengymnasium,3,4,4,3.666666667,3,2,2,2.333333333,4,3,4,3,3,2,17,1,
187,U1,FPS,4,4,4,4,1,4,2,2.333333333,3,4,5,5,3,1,17,1,
247,U1,Detlefsengymnasium,4,4,4,4,1,2,2,1.666666667,2,3,2,3,4,2,17,1,
122,U1,FPS,3,2,4,3,2,2,3,2.333333333,4,3,4,2,,1,16,1,
178,U1,FPS,3,4,3,3.333333333,2,4,4,3.333333333,4,4,5,5,2,2,17,1,
113,U1,FPS,3,2,,2.5,1,2,3,2,5,3,4,5,3,1,17,1,
293,U1,Detlefsengymnasium,,2,2,2,1,2,2,1.666666667,4,4,4,4,2,1,17,1,
299,U1,Detlefsengymnasium,2,2,3,2.333333333,2,2,2,2,4,3,2,5,,1,17,1,
294,U1,Detlefsengymnasium,3,4,3,3.333333333,4,5,4,4.333333333,3,3,4,3,3,2,16,1,
230,U1,Detlefsengymnasium,4,4,5,4.333333333,2,4,2,2.666666667,4,3,5,4,2,2,17,1,
242,U1,Detlefsengymnasium,,4,4,4,2,2,1,1.666666667,4,3,,3,,2,17,1,
190,U1,FPS,2,4,4,3.333333333,2,3,3,2.666666667,3,4,5,3,2,1,17,1,
240,U1,Detlefsengymnasium,4,4,5,4.333333333,2,4,2,2.666666667,5,3,5,5,2,2,17,1,
189,U1,FPS,3,4,4,3.666666667,2,3,4,3,5,4,4,4,3,2,18,1,
245,U1,Detlefsengymnasium,2,2,3,2.333333333,1,1,2,1.333333333,4,4,4,5,2,1,17,1,
111,U1,FPS,3,4,4,3.666666667,1,3,2,2,1,2,4,1,,1,17,1,
121,U1,FPS,3,5,4,4,2,4,4,3.333333333,4,4,5,4,2,2,17,1,
287,U1,Detlefsengymnasium,4,4,4,4,2,4,3,3,3,3,4,5,2,2,17,1,
232,U1,Detlefsengymnasium,3,4,3,3.333333333,1,2,1,1.333333333,,3,3,2,,1,17,1,
236,U1,Detlefsengymnasium,2,4,4,3.333333333,1,2,2,1.666666667,3,2,4,5,2,1,16,1,
288,U1,Detlefsengymnasium ,,3,4,3.5,1,2,2,1.666666667,,2,4,4,,1,17,1,
180,U1,FPS,4,4,4,4,2,5,3,3.333333333,2,4,5,3,4,2,17,1,
115,U1,FPS,2,3,4,3,1,2,3,2,3,5,4,,4,1,18,1,
